ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.871702,0.00470437667071689,255,147,0.7819148936170213,208,208,208.0,208,208
1,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.902268,0.004741516403402187,255,147,0.7819148936170213,208,208,208.0,208,208
2,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,4.078675,0.00495586269744836,255,147,0.7819148936170213,208,208,208.0,208,208
3,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.887486,0.004723555285540705,255,147,0.7819148936170213,208,208,208.0,208,208
4,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.918155,0.004760820170109356,255,147,0.7819148936170213,208,208,208.0,208,208
5,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.876358,0.004710034021871203,255,147,0.7819148936170213,208,208,208.0,208,208
6,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.88763,0.004723730255164034,255,147,0.7819148936170213,208,208,208.0,208,208
7,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,4.110387,0.0049943948967193195,255,147,0.7819148936170213,208,208,208.0,208,208
8,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.91741,0.004759914945321992,255,147,0.7819148936170213,208,208,208.0,208,208
9,lab1,wall_follower,823,245177.6000000014,255,568,69,67,54,65,284,284,3.903147,0.004742584447144593,255,147,0.7819148936170213,208,208,208.0,208,208
10,lab1,AVERAGE,823.0,245177.6000000014,255.0,568.0,69.0,67.0,54.0,65.0,284.0,284.0,3.9353217999999996,0.004781678979343863,255.0,147.0,0.7819148936170212,208.0,208.0,208.0,208.0,208.0
