ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab3,directedTremaux,70,2048.6,42,28,14,4,9,15,16,12,1.04769,0.014967,42,33,0.1783783783783784,832,3536,2091.0857142857144,832,3536
1,lab3,directedTremaux,74,2286.2000000000007,44,30,15,4,10,15,17,13,1.081103,0.0146095,44,34,0.1837837837837838,832,3728,2160.2162162162163,832,3728
2,lab3,directedTremaux,202,16973.399999999983,116,86,32,23,27,34,53,33,3.439994,0.017029673267326732,116,70,0.3783783783783784,832,6960,3878.732673267327,832,6960
3,lab3,directedTremaux,74,2287.8000000000006,44,30,15,4,10,15,15,15,1.162868,0.015714432432432434,44,34,0.1837837837837838,832,3728,2164.5405405405404,832,3728
4,lab3,directedTremaux,232,22360.79999999998,134,98,36,28,31,39,63,35,3.281986,0.014146491379310344,134,79,0.42702702702702705,832,7472,4268.689655172414,832,7472
5,lab3,directedTremaux,198,16324.599999999979,114,84,31,23,26,34,54,30,2.83617,0.01432409090909091,114,69,0.372972972972973,832,6704,3789.131313131313,832,6704
6,lab3,directedTremaux,70,2048.6,42,28,14,4,9,15,16,12,0.966995,0.013814214285714286,42,33,0.1783783783783784,832,3536,2091.0857142857144,832,3536
7,lab3,directedTremaux,198,16326.19999999998,114,84,31,23,26,34,52,32,2.697517,0.013623823232323232,114,69,0.372972972972973,832,6704,3790.747474747475,832,6704
8,lab3,directedTremaux,202,16973.399999999983,116,86,32,23,27,34,53,33,2.777295,0.013748985148514851,116,70,0.3783783783783784,832,6960,3878.732673267327,832,6960
9,lab3,directedTremaux,104,4515.2,62,42,19,9,14,20,23,19,1.413578,0.013592096153846154,62,43,0.23243243243243245,832,4336,2616.923076923077,832,4336
10,lab3,AVERAGE,142.4,10214.47999999999,82.8,59.6,23.9,14.5,18.9,25.5,36.2,23.4,2.0705196,0.014557030680855895,82.8,53.4,0.2886486486486487,832.0,5366.4,3072.9885051837123,832.0,5366.4
