ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab4,simple,2701,3065750.5999999945,1636,1065,369,454,357,456,380,685,54.927352,0.02033593187708256,1636,192,0.9948186528497409,560,832,719.4905590522029,560,560
1,lab4,simple,4699,9248385.199999873,2796,1903,633,770,621,772,595,1308,94.962374,0.02020906022557991,2796,193,1.0,560,832,716.3055969355182,560,560
2,lab4,simple,4471,8435964.799999876,2724,1747,607,760,595,762,567,1180,93.780774,0.020975346454931782,2724,174,0.9015544041450777,560,832,720.5296354283158,560,560
3,lab4,simple,487,100301.6,296,191,78,75,66,77,59,132,9.923559,0.020376917864476384,296,96,0.49740932642487046,560,832,721.7084188911705,560,560
4,lab4,simple,2897,3532826.9999999832,1752,1145,391,490,379,492,388,757,58.374389,0.02014994442526752,1752,192,0.9948186528497409,560,832,717.8073869520193,560,560
5,lab4,simple,1495,945694.8000000014,914,581,197,265,185,267,210,371,30.931388,0.020689891638795987,914,142,0.7357512953367875,560,832,720.5565217391304,560,560
6,lab4,simple,669,190044.20000000024,416,253,90,123,78,125,90,163,13.77169,0.020585485799701046,416,107,0.5544041450777202,560,832,718.0627802690583,560,560
7,lab4,simple,1693,1199074.2000000018,1002,691,228,278,216,280,239,452,34.08111,0.020130602480803308,1002,112,0.5803108808290155,560,832,718.1098641464855,560,560
8,lab4,simple,1543,992777.6000000038,908,635,205,254,193,256,229,406,31.227937,0.02023845560596241,908,152,0.7875647668393783,560,832,720.601425793908,560,560
9,lab4,simple,381,60691.799999999974,226,155,58,60,46,62,61,94,7.83807,0.02057236220472441,226,85,0.44041450777202074,560,832,725.0393700787401,560,560
10,lab4,AVERAGE,2103.6,2777151.1799999736,1267.0,836.6,285.6,352.9,273.6,354.9,281.8,554.8,42.9818643,0.020426399857732532,1267.0,144.5,0.7487046632124352,560.0,832.0,719.8211559286549,560.0,560.0
