ID,labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad
0,lab9,tremaux,111,5298.399999999999,72,39,19,24,15,14,27,12,1.718743,0.01548417117117117,72,44,0.22564102564102564,664,4768,2882.5945945945946,664,4768
1,lab9,tremaux,111,5243.999999999998,72,39,19,24,15,14,27,12,1.63981,0.014773063063063063,72,44,0.22564102564102564,664,4824,3014.846846846847,664,4824
2,lab9,tremaux,285,34402.999999999956,174,111,44,50,40,40,75,36,3.914622,0.013735515789473685,174,95,0.48717948717948717,664,9400,5252.715789473684,664,9400
3,lab9,tremaux,117,5907.4000000000015,76,41,19,26,15,16,34,7,1.687421,0.01442240170940171,76,46,0.2358974358974359,664,4896,2945.5726495726494,664,4896
4,lab9,tremaux,161,11132.6,100,61,26,31,22,21,44,17,2.348636,0.014587801242236024,100,58,0.29743589743589743,664,6040,3623.304347826087,664,6040
5,lab9,tremaux,161,11134.199999999997,100,61,26,31,22,21,46,15,2.21324,0.013746832298136644,100,58,0.29743589743589743,664,6040,3613.3664596273293,664,6040
6,lab9,tremaux,365,56437.39999999995,222,143,53,65,49,55,101,42,5.276097,0.014455060273972602,222,119,0.6102564102564103,664,12312,6576.043835616439,664,12312
7,lab9,tremaux,359,54522.8,218,141,53,63,49,53,106,35,5.185163,0.014443350974930363,218,117,0.6,664,12128,6241.649025069638,664,12128
8,lab9,tremaux,155,10277.199999999999,96,59,26,29,22,19,43,16,2.150206,0.013872296774193547,96,56,0.28717948717948716,664,5760,3566.090322580645,664,5760
9,lab9,tremaux,185,14593.399999999987,116,69,28,37,24,27,52,17,2.790392,0.015083200000000001,116,66,0.3384615384615385,664,7520,4258.4648648648645,664,7520
10,lab9,AVERAGE,201.0,20895.03999999999,124.6,76.4,31.3,38.0,27.3,28.0,55.5,20.9,2.8924329999999996,0.01446036932965788,124.6,70.3,0.3605128205128205,664.0,7368.8,4197.464873607278,664.0,7368.8
