labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad: None
lab0,wall_follower,1110.0,446575.40000000456,345.0,765.0,83.0,88.0,91.0,83.0,381.0,384.0,5.3207152,0.004793437117117117,345.0,182.0,0.9381443298969072,208.0,208.0,208.0,208.0,208.0
lab0,tremaux,382.0,84434.84000000005,221.8,160.2,50.4,59.0,58.4,54.0,102.4,57.8,5.1696078,0.0126385400721974,221.8,120.4,0.6206185567010309,664.0,10833.6,5965.490441315854,664.0,10731.2
lab0,directedTremaux,40.0,730.9600000000003,25.8,14.2,1.4,10.0,9.4,5.0,7.6,6.6,0.5080570999999999,0.012958313221153844,25.8,22.4,0.11546391752577319,832.0,2323.2,1640.0615384615382,832.0,2243.2
lab0,simple,568.6,221113.38000000035,330.8,237.8,73.9,90.0,81.9,85.0,81.4,156.4,11.6581733,0.020744075820758014,330.8,78.5,0.40463917525773196,560.0,832.0,719.2856414333339,560.0,712.0
lab0,greedy,85.0,2471.800000000002,17.0,68.0,0.0,7.0,8.0,2.0,0.0,68.0,0.6553384,0.007709863529411766,17.0,18.0,0.09278350515463918,608.0,1456.0,1068.235294117647,608.0,1456.0
lab1,wall_follower,823.0,245177.6000000014,255.0,568.0,69.0,67.0,54.0,65.0,284.0,284.0,3.9353217999999996,0.004781678979343863,255.0,147.0,0.7819148936170212,208.0,208.0,208.0,208.0,208.0
lab1,tremaux,322.6,45809.39999999999,195.0,127.6,56.4,49.6,41.4,47.6,87.2,40.4,4.621235700000001,0.014283576754715921,195.0,117.0,0.6223404255319149,1246.4,11092.8,6114.378862459682,1268.8,10980.8
lab1,directedTremaux,198.6,19112.04,126.2,72.4,40.9,30.7,25.9,28.7,42.4,30.0,2.9068514,0.014843419419787857,126.2,82.6,0.43936170212765957,1328.0,7356.8,4217.625427649188,1384.0,7244.8
lab1,simple,2759.8,4049509.3999999687,1681.2,1078.6,414.2,434.9,399.2,432.9,341.7,736.9,56.875452599999996,0.020472611193160146,1681.2,159.2,0.8468085106382978,560.0,832.0,720.2010761633716,712.0,712.0
lab1,greedy,895.0,272509.60000000184,179.0,716.0,57.0,41.0,42.0,39.0,0.0,716.0,6.1141266000000005,0.0068314263687150835,179.0,99.0,0.5265957446808509,736.0,5512.0,2532.9162011173185,776.0,5512.0
lab2,wall_follower,437.0,69397.39999999982,138.0,299.0,40.0,35.0,26.0,37.0,150.0,149.0,2.0995311,0.004804418993135011,138.0,83.0,0.4300518134715025,208.0,208.0,208.0,208.0,208.0
lab2,tremaux,257.6,31497.97999999998,156.8,100.8,46.3,38.1,32.3,40.1,61.3,39.5,3.0106387999999997,0.01154238131586118,156.8,92.4,0.47875647668393784,1172.8,6828.8,4067.347979686394,1251.2,6821.6
lab2,directedTremaux,244.2,25581.07999999998,144.8,99.4,41.7,36.7,27.7,38.7,63.2,36.2,3.1257999,0.01281065192311714,144.8,86.4,0.44766839378238343,1328.0,6892.0,4206.647422284904,1384.0,6875.2
lab2,simple,791.4,460085.3999999999,474.4,317.0,125.0,118.2,111.0,120.2,118.2,198.8,16.078786,0.020410718694095525,474.4,107.7,0.5580310880829015,560.0,832.0,719.8517720336068,712.0,832.0
lab2,greedy,580.0,114480.39999999995,116.0,464.0,34.0,30.0,20.0,32.0,0.0,464.0,3.9130241000000003,0.006746593275862069,116.0,69.0,0.35751295336787564,736.0,3088.0,2012.3172413793104,776.0,2952.0
lab3,wall_follower,676.0,166142.00000000047,214.0,462.0,59.0,45.0,54.0,56.0,231.0,231.0,3.1915056999999996,0.004721162278106509,214.0,119.0,0.6432432432432432,208.0,208.0,208.0,208.0,208.0
lab3,tremaux,247.4,32184.01999999997,142.0,105.4,38.9,29.1,33.9,40.1,64.3,41.1,3.020745,0.012230215314673958,142.0,83.0,0.4486486486486487,664.0,7001.6,4076.397884239479,664.0,6945.6
lab3,directedTremaux,142.4,10214.47999999999,82.8,59.6,23.9,14.5,18.9,25.5,36.2,23.4,2.0705196,0.014557030680855895,82.8,53.4,0.2886486486486487,832.0,5366.4,3072.9885051837123,832.0,5366.4
lab3,simple,1283.6,1107016.079999994,739.8,543.8,193.9,173.0,188.9,184.0,200.3,343.5,25.9923135,0.02043424142627962,739.8,120.4,0.6508108108108108,560.0,832.0,719.5935693853935,560.0,712.0
lab3,greedy,690.0,161998.20000000048,138.0,552.0,38.0,28.0,33.0,39.0,0.0,552.0,4.647278,0.006735185507246377,138.0,70.0,0.3783783783783784,608.0,3088.0,2181.426086956522,608.0,2952.0
lab4,wall_follower,807.0,235465.2000000012,250.0,557.0,58.0,72.0,46.0,74.0,276.0,281.0,3.8127722,0.00472462478314746,250.0,142.0,0.7357512953367875,208.0,208.0,208.0,208.0,208.0
lab4,tremaux,298.2,46355.03999999999,178.4,119.8,45.9,48.3,33.9,50.3,75.6,44.2,3.7436202,0.012554015968312232,178.4,106.2,0.550259067357513,664.0,8318.4,4756.322952814914,664.0,8318.4
lab4,directedTremaux,219.8,23579.919999999984,134.4,85.4,37.2,35.0,25.2,37.0,50.2,35.2,2.791563,0.012833533543752587,134.4,84.2,0.4362694300518134,832.0,6345.6,3991.2995374264037,832.0,6345.6
lab4,simple,2103.6,2777151.1799999736,1267.0,836.6,285.6,352.9,273.6,354.9,281.8,554.8,42.9818643,0.020426399857732532,1267.0,144.5,0.7487046632124352,560.0,832.0,719.8211559286549,560.0,560.0
lab4,greedy,200.0,13635.999999999982,40.0,160.0,17.0,8.0,5.0,10.0,0.0,160.0,1.310402,0.00655201,40.0,36.0,0.18652849740932642,608.0,1992.0,1349.2000000000003,608.0,1992.0
lab5,wall_follower,384.0,53531.599999999824,120.0,264.0,34.0,26.0,23.0,37.0,132.0,132.0,1.8222199,0.004745364322916666,120.0,76.0,0.4108108108108109,208.0,208.0,208.0,208.0,208.0
lab5,tremaux,221.0,28549.379999999976,131.2,89.8,37.0,28.6,26.0,39.6,61.7,28.1,2.947336,0.01287097125539883,131.2,81.6,0.44108108108108113,664.0,7428.8,4374.007734808578,664.0,7316.8
lab5,directedTremaux,374.8,58683.63999999997,218.8,156.0,60.0,49.4,49.0,60.4,108.8,47.2,5.6521839,0.015084120395909756,218.8,125.4,0.6778378378378378,832.0,12774.4,7182.477691237987,832.0,12662.4
lab5,simple,2940.0,5910984.959999959,1738.4,1201.6,419.2,450.0,408.2,461.0,390.8,810.8,59.737176899999994,0.020028222838638865,1738.4,150.4,0.812972972972973,560.0,832.0,720.3673020404792,560.0,712.0
lab5,greedy,1170.0,465636.60000000504,234.0,936.0,66.0,51.0,55.0,62.0,0.0,936.0,7.858184700000001,0.006716397179487179,234.0,119.0,0.6432432432432432,608.0,5512.0,3249.0940170940166,608.0,5512.0
lab6,wall_follower,112.0,4594.400000000002,35.0,77.0,6.0,5.0,10.0,14.0,39.0,38.0,0.52308,0.004670357142857144,35.0,27.0,0.14516129032258068,208.0,208.0,208.0,208.0,208.0
lab6,tremaux,44.2,855.6200000000001,26.2,18.0,3.1,3.5,7.1,12.5,12.1,5.9,0.5047675999999999,0.011445797650534852,26.2,22.6,0.12150537634408601,664.0,2244.8,1643.3855044858524,664.0,2244.8
lab6,directedTremaux,34.8,547.9199999999998,21.6,13.2,3.0,1.3,7.0,10.3,7.1,6.1,0.42890560000000005,0.012427902023411371,21.6,20.3,0.10913978494623658,832.0,2246.4,1726.8885618729098,832.0,2246.4
lab6,simple,1490.0,2618033.6399999727,873.0,617.0,196.4,233.6,200.4,242.6,206.6,410.4,30.639871500000005,0.020352055101553183,873.0,93.7,0.5037634408602151,560.0,832.0,719.0208474440124,560.0,560.0
lab6,greedy,135.0,6220.800000000002,27.0,108.0,5.0,2.0,9.0,11.0,0.0,108.0,0.9196112999999999,0.006811935555555556,27.0,23.0,0.1236559139784946,608.0,1856.0,1151.4666666666667,608.0,1856.0
lab7,wall_follower,354.0,45435.79999999983,111.0,243.0,30.0,33.0,23.0,25.0,122.0,121.0,1.7216063,0.004863294632768361,111.0,68.0,0.37777777777777777,208.0,208.0,208.0,208.0,208.0
